id,base,token,url,@image
0,POA,AtD08Yc-8UGL-bvx,https://qr-pascoa.vercel.app/pascoa?t=AtD08Yc-8UGL-bvx,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_0_POA_AtD08Y.png
1,POA,oM5HXGd_v9kfjdDK,https://qr-pascoa.vercel.app/pascoa?t=oM5HXGd_v9kfjdDK,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_1_POA_oM5HXG.png
2,POA,jY-PaN_NKgljXOFL,https://qr-pascoa.vercel.app/pascoa?t=jY-PaN_NKgljXOFL,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_2_POA_jY-PaN.png
3,POA,9ddh5cU__xyZnsCn,https://qr-pascoa.vercel.app/pascoa?t=9ddh5cU__xyZnsCn,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_3_POA_9ddh5c.png
4,POA,2L8mHARJxLTLpnnY,https://qr-pascoa.vercel.app/pascoa?t=2L8mHARJxLTLpnnY,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_4_POA_2L8mHA.png
5,POA,m22SedWLy35qp4g3,https://qr-pascoa.vercel.app/pascoa?t=m22SedWLy35qp4g3,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_5_POA_m22Sed.png
6,POA,8IBzGbCMoUmQYI5T,https://qr-pascoa.vercel.app/pascoa?t=8IBzGbCMoUmQYI5T,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_6_POA_8IBzGb.png
7,POA,DMWOsVmay0mvWMjO,https://qr-pascoa.vercel.app/pascoa?t=DMWOsVmay0mvWMjO,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_7_POA_DMWOsV.png
8,POA,OKjf9fWPFXlIJZYe,https://qr-pascoa.vercel.app/pascoa?t=OKjf9fWPFXlIJZYe,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_8_POA_OKjf9f.png
9,POA,bogIHhMAHnlOhXgy,https://qr-pascoa.vercel.app/pascoa?t=bogIHhMAHnlOhXgy,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_9_POA_bogIHh.png
10,POA,0QuTrFpfFHSEc8en,https://qr-pascoa.vercel.app/pascoa?t=0QuTrFpfFHSEc8en,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_10_POA_0QuTrF.png
11,POA,FoXF1gjkn5w5TFaU,https://qr-pascoa.vercel.app/pascoa?t=FoXF1gjkn5w5TFaU,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_11_POA_FoXF1g.png
12,POA,0hB-nRkIHxM3ziGU,https://qr-pascoa.vercel.app/pascoa?t=0hB-nRkIHxM3ziGU,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_12_POA_0hB-nR.png
13,POA,gug6M3Yjq04aG4WF,https://qr-pascoa.vercel.app/pascoa?t=gug6M3Yjq04aG4WF,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_13_POA_gug6M3.png
14,POA,K5qvYny9J3KPfWiD,https://qr-pascoa.vercel.app/pascoa?t=K5qvYny9J3KPfWiD,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_14_POA_K5qvYn.png
15,POA,2gmn6P7sd3kEAPFi,https://qr-pascoa.vercel.app/pascoa?t=2gmn6P7sd3kEAPFi,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_15_POA_2gmn6P.png
16,POA,i1sI0BTa30rr5WiR,https://qr-pascoa.vercel.app/pascoa?t=i1sI0BTa30rr5WiR,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_16_POA_i1sI0B.png
17,POA,LotSDXoyZ6_jNNHk,https://qr-pascoa.vercel.app/pascoa?t=LotSDXoyZ6_jNNHk,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_17_POA_LotSDX.png
18,POA,QArGaiikXdqcjDfC,https://qr-pascoa.vercel.app/pascoa?t=QArGaiikXdqcjDfC,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_18_POA_QArGai.png
19,POA,Rgpws3KYrc0HiM1T,https://qr-pascoa.vercel.app/pascoa?t=Rgpws3KYrc0HiM1T,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_19_POA_Rgpws3.png
20,POA,m8G-uTS8c7ooReTm,https://qr-pascoa.vercel.app/pascoa?t=m8G-uTS8c7ooReTm,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_20_POA_m8G-uT.png
21,POA,ztKyrXsxUdJLy5Fz,https://qr-pascoa.vercel.app/pascoa?t=ztKyrXsxUdJLy5Fz,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_21_POA_ztKyrX.png
22,POA,J-TLjsYV0HB4G4Cy,https://qr-pascoa.vercel.app/pascoa?t=J-TLjsYV0HB4G4Cy,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_22_POA_J-TLjs.png
23,POA,KJY9xKRRT3M17CDK,https://qr-pascoa.vercel.app/pascoa?t=KJY9xKRRT3M17CDK,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_23_POA_KJY9xK.png
24,POA,6myqC39PXtbdtiUV,https://qr-pascoa.vercel.app/pascoa?t=6myqC39PXtbdtiUV,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_24_POA_6myqC3.png
25,POA,u6rly1BvlBWM3nk2,https://qr-pascoa.vercel.app/pascoa?t=u6rly1BvlBWM3nk2,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_25_POA_u6rly1.png
26,POA,F04bkkxYOEArU5az,https://qr-pascoa.vercel.app/pascoa?t=F04bkkxYOEArU5az,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_26_POA_F04bkk.png
27,POA,oreATvqNy9o_mZUH,https://qr-pascoa.vercel.app/pascoa?t=oreATvqNy9o_mZUH,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_27_POA_oreATv.png
28,POA,5JpXxbu4dCTEMB-y,https://qr-pascoa.vercel.app/pascoa?t=5JpXxbu4dCTEMB-y,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_28_POA_5JpXxb.png
29,POA,WV1SXYqGttHS_2fz,https://qr-pascoa.vercel.app/pascoa?t=WV1SXYqGttHS_2fz,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_29_POA_WV1SXY.png
30,POA,VOyM3sXoUxJqIW34,https://qr-pascoa.vercel.app/pascoa?t=VOyM3sXoUxJqIW34,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_30_POA_VOyM3s.png
31,POA,y0mLo2AckJYeakwj,https://qr-pascoa.vercel.app/pascoa?t=y0mLo2AckJYeakwj,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_31_POA_y0mLo2.png
32,POA,WmcwoN23W4pa1DyD,https://qr-pascoa.vercel.app/pascoa?t=WmcwoN23W4pa1DyD,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_32_POA_WmcwoN.png
33,POA,t51wwqbRvAw0tqyL,https://qr-pascoa.vercel.app/pascoa?t=t51wwqbRvAw0tqyL,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_33_POA_t51wwq.png
34,POA,M1Je5skOwJhsJIgV,https://qr-pascoa.vercel.app/pascoa?t=M1Je5skOwJhsJIgV,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_34_POA_M1Je5s.png
35,POA,FQLaXXP8AIjGMOx_,https://qr-pascoa.vercel.app/pascoa?t=FQLaXXP8AIjGMOx_,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_35_POA_FQLaXX.png
36,POA,3SfuZYkZNfS62gib,https://qr-pascoa.vercel.app/pascoa?t=3SfuZYkZNfS62gib,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_36_POA_3SfuZY.png
37,POA,tct82ef5BkP-sbX9,https://qr-pascoa.vercel.app/pascoa?t=tct82ef5BkP-sbX9,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_37_POA_tct82e.png
38,POA,56tUHs-MneGyDFt9,https://qr-pascoa.vercel.app/pascoa?t=56tUHs-MneGyDFt9,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_38_POA_56tUHs.png
39,POA,c9JpD0PxXmsCRHxW,https://qr-pascoa.vercel.app/pascoa?t=c9JpD0PxXmsCRHxW,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_39_POA_c9JpD0.png
40,POA,3etTsYmdRiexYgfw,https://qr-pascoa.vercel.app/pascoa?t=3etTsYmdRiexYgfw,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_40_POA_3etTsY.png
41,POA,7gfLWkcEy5L7d9LY,https://qr-pascoa.vercel.app/pascoa?t=7gfLWkcEy5L7d9LY,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_41_POA_7gfLWk.png
42,POA,ZRgDiFmn_irJZXxl,https://qr-pascoa.vercel.app/pascoa?t=ZRgDiFmn_irJZXxl,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_42_POA_ZRgDiF.png
43,POA,xLye2zAvzKz6QdOd,https://qr-pascoa.vercel.app/pascoa?t=xLye2zAvzKz6QdOd,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_43_POA_xLye2z.png
44,POA,LVsk_zBCKW4-kTh-,https://qr-pascoa.vercel.app/pascoa?t=LVsk_zBCKW4-kTh-,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_44_POA_LVsk_z.png
45,POA,7G3dMSsjHYhp6eoS,https://qr-pascoa.vercel.app/pascoa?t=7G3dMSsjHYhp6eoS,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_45_POA_7G3dMS.png
46,POA,B0CJQQK8Nd-fcsKu,https://qr-pascoa.vercel.app/pascoa?t=B0CJQQK8Nd-fcsKu,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_46_POA_B0CJQQ.png
47,POA,-MLPbcBV__pNdP7k,https://qr-pascoa.vercel.app/pascoa?t=-MLPbcBV__pNdP7k,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_47_POA_-MLPbc.png
48,POA,SCyHm3ebfraNJKGJ,https://qr-pascoa.vercel.app/pascoa?t=SCyHm3ebfraNJKGJ,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_48_POA_SCyHm3.png
49,POA,2Ad-wwY7vQr3kio4,https://qr-pascoa.vercel.app/pascoa?t=2Ad-wwY7vQr3kio4,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_49_POA_2Ad-ww.png
50,CANOAS,byFSPLJNQPn8_-9c,https://qr-pascoa.vercel.app/pascoa?t=byFSPLJNQPn8_-9c,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_50_CANOAS_byFSPL.png
51,CANOAS,vDdLRcwBZr4BtatH,https://qr-pascoa.vercel.app/pascoa?t=vDdLRcwBZr4BtatH,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_51_CANOAS_vDdLRc.png
52,CANOAS,xyhx0lo2SBw1Y7Rt,https://qr-pascoa.vercel.app/pascoa?t=xyhx0lo2SBw1Y7Rt,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_52_CANOAS_xyhx0l.png
53,CANOAS,cSvCgPNTG_P6OmD1,https://qr-pascoa.vercel.app/pascoa?t=cSvCgPNTG_P6OmD1,C:\Users\leonardo.maciel\Desktop\Pascoa\qr-pascoa\qrcodes\png\qr_53_CANOAS_cSvCgP.png
